USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  22724 13600 ?        Ss   08:48   0:01 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S    08:48   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        S    08:48   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-rcu_gp]
root           5  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-sync_wq]
root           6  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-kvfree_rcu_reclaim]
root           7  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-slub_flushwq]
root           8  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-netns]
root          10  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/0:0H-events_highpri]
root          13  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/R-mm_percpu_wq]
root          14  0.0  0.0      0     0 ?        S    08:48   0:00 [ksoftirqd/0]
root          15  0.1  0.0      0     0 ?        I    08:48   0:04 [rcu_preempt]
root          16  0.0  0.0      0     0 ?        S    08:48   0:00 [rcu_exp_par_gp_kthread_worker/1]
root          17  0.0  0.0      0     0 ?        S    08:48   0:00 [rcu_exp_gp_kthread_worker]
root          18  0.0  0.0      0     0 ?        S    08:48   0:00 [migration/0]
root          19  0.0  0.0      0     0 ?        S    08:48   0:00 [idle_inject/0]
root          20  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/0]
root          21  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/2]
root          21  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/2]
root          21  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/2]
root          22  0.0  0.0      0     0 ?        S    08:48   0:00 [idle_inject/2]
root          23  0.0  0.0      0     0 ?        S    08:48   0:00 [migration/2]
root          24  0.0  0.0      0     0 ?        S    08:48   0:00 [ksoftirqd/2]
root          26  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/2:0H-events_highpri]
root          27  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/4]
root          28  0.0  0.0      0     0 ?        S    08:48   0:00 [idle_inject/4]
root          29  0.0  0.0      0     0 ?        S    08:48   0:00 [migration/4]
root          30  0.0  0.0      0     0 ?        S    08:48   0:00 [ksoftirqd/4]
root          32  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/4:0H-events_highpri]
root          33  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/6]
root          34  0.0  0.0      0     0 ?        S    08:48   0:00 [idle_inject/6]
root          35  0.0  0.0      0     0 ?        S    08:48   0:00 [migration/6]
root          36  0.0  0.0      0     0 ?        S    08:48   0:00 [ksoftirqd/6]
root          37  0.0  0.0      0     0 ?        I    08:48   0:00 [kworker/6:0-kacpi_notify]
root          38  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/6:0H-events_highpri]
root          39  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/8]
root          40  0.0  0.0      0     0 ?        S    08:48   0:00 [idle_inject/8]
root          41  0.0  0.0      0     0 ?        S    08:48   0:00 [migration/8]
root          42  0.0  0.0      0     0 ?        S    08:48   0:00 [ksoftirqd/8]
root          44  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/8:0H-events_highpri]
root          45  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/10]
root          46  0.0  0.0      0     0 ?        S    08:48   0:00 [idle_inject/10]
root          47  0.0  0.0      0     0 ?        S    08:48   0:00 [migration/10]
root          48  0.0  0.0      0     0 ?        S    08:48   0:00 [ksoftirqd/10]
root          50  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/10:0H-events_highpri]
root          51  0.0  0.0      0     0 ?        S    08:48   0:00 [rcu_exp_par_gp_kthread_worker/2]
root          52  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/12]
root          53  0.0  0.0      0     0 ?        S    08:48   0:00 [idle_inject/12]
root          54  0.0  0.0      0     0 ?        S    08:48   0:01 [migration/12]
root          55  0.0  0.0      0     0 ?        S    08:48   0:00 [ksoftirqd/12]
root          57  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/12:0H-events_highpri]
root          58  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/13]
root          59  0.0  0.0      0     0 ?        S    08:48   0:00 [idle_inject/13]
root          60  0.0  0.0      0     0 ?        S    08:48   0:00 [migration/13]
root          61  0.0  0.0      0     0 ?        S    08:48   0:00 [ksoftirqd/13]
root          63  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/13:0H-events_highpri]
root          64  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/14]
root          65  0.0  0.0      0     0 ?        S    08:48   0:00 [idle_inject/14]
root          66  0.0  0.0      0     0 ?        S    08:48   0:00 [migration/14]
root          67  0.0  0.0      0     0 ?        S    08:48   0:00 [ksoftirqd/14]
root          69  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/14:0H-events_highpri]
root          70  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/15]
root          71  0.0  0.0      0     0 ?        S    08:48   0:00 [idle_inject/15]
root          72  0.0  0.0      0     0 ?        S    08:48   0:00 [migration/15]
root          73  0.0  0.0      0     0 ?        S    08:48   0:00 [ksoftirqd/15]
root          75  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/15:0H-events_highpri]
root          76  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/16]
root          77  0.0  0.0      0     0 ?        S    08:48   0:00 [idle_inject/16]
root          78  0.0  0.0      0     0 ?        S    08:48   0:00 [migration/16]
root          79  0.0  0.0      0     0 ?        S    08:48   0:01 [ksoftirqd/16]
root          81  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/16:0H-kblockd]
root          82  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/17]
root          83  0.0  0.0      0     0 ?        S    08:48   0:00 [idle_inject/17]
root          84  0.0  0.0      0     0 ?        S    08:48   0:00 [migration/17]
root          85  0.0  0.0      0     0 ?        S    08:48   0:00 [ksoftirqd/17]
root          86  0.0  0.0      0     0 ?        I    08:48   0:00 [kworker/17:0-mm_percpu_wq]
root          87  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/17:0H-events_highpri]
root          88  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/18]
root          89  0.0  0.0      0     0 ?        S    08:48   0:00 [idle_inject/18]
root          90  0.0  0.0      0     0 ?        S    08:48   0:00 [migration/18]
root          91  0.0  0.0      0     0 ?        S    08:48   0:00 [ksoftirqd/18]
root          92  0.0  0.0      0     0 ?        I    08:48   0:00 [kworker/18:0-mm_percpu_wq]
root          93  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/18:0H-events_highpri]
root          94  0.0  0.0      0     0 ?        S    08:48   0:00 [cpuhp/19]
root          95  0.0  0.0      0     0 ?        S    08:48   0:00 [idle_inject/19]
root          96  0.0  0.0      0     0 ?        S    08:48   0:00 [migration/19]
root          97  0.0  0.0      0     0 ?        S    08:48   0:00 [ksoftirqd/19]
root          99  0.0  0.0      0     0 ?        I<   08:48   0:00 [kworker/19:0H-events_highpri]
